Echo 1
-0 0.880457 0.130396 
0.052682 0.694494 0.231934 
0.0834951 0.723199 0.115403 
0.0607203 0.813428 0.127872 
0.0912921 0.880244 0.132615 
0.101835 1.34262 0.135934 
0.267208 1.2994 0.436588 
0.0846361 1.0895 0.191154 
0.0536788 0.412696 0.140344 
-0 0.580837 0.469443 
0.0553361 0.236388 0.125697 
0.0817491 0.1575 0.148722 
0.151746 0.664866 0.191785 
0.309892 0.642588 0.401876 
0.0879619 0.390477 0.124888 
0.054968 0.500809 0.122072 
0.091614 0.648021 0.18536 
-0.189252 0.459607 0.107532 
-0.333138 0.131786 0.333131 
-0.110731 0.163739 0.114537 
-0.0764159 0.656024 0.254377 
-0.310152 0.440248 0.614626 
-0.0778611 0.760855 0.230464 
-0.0614064 1.10071 0.169719 
-0.0686006 0.652732 0.17571 
-0.0314428 0.651738 0.334414 
-0.156837 1.2125 0.0432077 
-0.135543 0.989671 0 
-0.103059 0.615177 0 
-0.126137 0.609369 0.088633 
-0.266826 0.683691 0.153115 
-0.126533 0.81288 0.0714836 
-0.112223 0.832542 0.0883899 
-0.139559 1.47586 0.0773742 
-0.129918 1.0994 0.0692999 
-0.146704 0.343071 0.0351813 
-0.229398 0.341693 0 
-0.268703 0.313193 0.047622 
-0.275028 0.682207 0.2752 
-0.153539 0.274164 0.148239 
-0.253386 0.381312 0.194767 
-0.158198 0.477841 0.195359 
-0.184816 0.828206 0.0795214 
-0.210052 0.839877 0.154225 
-0.389333 0.302712 -0.275361 
-0.213143 0.595627 -0.170117 
-0.526466 0.499507 -0.254176 
-0.664053 0.403099 -0.100619 
-0.578222 0.433047 -0.206362 
-0.52363 0.617377 -0.0985189 
-0.114337 0.393327 -0.0323915 
-0.11715 0.502779 -0.0502146 
-0.343196 0.796452 -0.126218 
-0.0286132 0.717007 -0.129576 
-0 0.813901 -0.125924 
-0.033667 0.794514 -0.200932 
-0.0973019 0.989489 -0.134097 
-0.117842 1.1788 -0.304544 
-0.0869478 0.681046 -0.112086 
-0.090376 1.07601 -0.125301 
-0.0548064 0.900941 -0.109326 
-0.0807622 0.834086 -0.110312 
-0.0838069 0.681266 -0.129067 
-0 0.333548 -0.582021 
-0.0352641 0.210458 -0.270364 
-0.110755 0.488065 -0.296818 
-0.0581267 0.174008 -0.112846 
-0.140423 0.254447 -0.316724 
-0.110144 1.10074 -0.174633 
-0.050136 0.721642 -0.175283 
-0.212654 0.833463 -0.206848 
0.108042 0.34842 -0.21667 
0.170018 0.405996 -0.0984838 
0.254236 0.377996 -0.350099 
0.0471974 0.408892 -0.59598 
0.304171 0.452555 -0.416937 
0.0671645 0.750771 -0.275765 
0.0516575 0.961511 -0.201073 
0.0951143 0.763353 -0.262726 
0.0345269 0.395096 -0.09795 
0.159205 1.25502 -0.0437286 
0.147642 0.810702 0 
0.230971 0.995809 -0.0379919 
0.220571 0.953283 -0.17532 
0.119463 0.946933 -0.0798437 
0.241481 1.12367 -0.174703 
0.166757 1.40685 -0.0994748 
0.10384 0.834379 -0.0547208 
0.113125 0.833988 -0.0776016 
0.159666 0.408628 -0.0443837 
0.443224 0.31163 0 
0.200457 0.416636 -0.10435 
0.366034 0.664093 -0.205922 
0.28599 0.494151 -0.234976 
0.199945 0.187861 -0.121115 
0.265079 0.801741 -0.119493 
0.117162 0.392354 -0.0582341 
0.277754 0.899273 -0.140354 
0.1996 0.633534 0.0996997 
0.271332 0.548094 0.651454 
0.448669 0.670672 0.17994 
0.388491 0.664551 0.06807 
0.387462 0.403761 0.26686 
0.427665 0.523051 0.0941474 
0.126523 0.894222 0.122908 
0.211316 0.849709 0.0745237 
0.16697 0.516255 0.0400734 
0.130394 0.677926 0.0916519 
0.147092 1.18778 0.140952 
0.106078 0.614195 0.107416 
0.299157 1.14736 0.0947908 
0.137426 0.877718 0.0850827 
0.312506 0.884957 0.0545009 
0.164495 1.40693 0.039555 
0.103766 1.03472 0.056476 
0.118905 0.899896 0.0252539 
0.291686 1.07875 -0.348346 
0.217435 0.845491 -0.191509 
0.0916286 0.746508 -0.126352 
0.0323755 0.719061 -0.1246 
0.0675636 0.812824 -0.129684 
0.0245978 0.747933 -0.115513 
0.0254511 0.944546 -0.101484 
0.125336 1.35566 -0.193277 
0.0300995 1.4313 -0.166782 
-0.164443 0.80574 -0.109126 
-0.189872 1.03996 -0.175481 
-0.120748 0.940312 -0.176214 
-0.147684 0.919985 -0.0401296 
-0.107917 0.614474 -0.0534157 
-0.105765 0.814658 -0.0423667 
-0.216678 1.35632 -0.0315178 
-0.165933 1.13332 -0.0849051 
-0.135632 1.29949 -0.0769183 
-0.121162 0.999967 0.211956 
-0.132574 0.91965 0.139114 
-0.157342 1.06891 0.199455 
-0.0277639 1.05638 0.138619 
-0.122711 0.989628 0.231851 
-0.0478585 1.07237 0.196303 
-0.0316914 1.13956 0.149299 
-0.155445 1.3249 0.294862 
-0.0515986 1.29539 0.174131 
-0.119024 0.689511 0.282693 
-0 1.05796 0.118073 
-0 1.40893 0.148271 
-0.0589056 1.09581 0.211433 
-0 1.08101 0.277409 
-0.22709 0.79555 0.199116 
-0.241225 0.681247 0.537895 
-0.178822 1.25096 -0.098043 
-0.130664 1.20969 -0.0273792 
-0.639632 0.824761 -0.0711227 
-0.631351 0.713695 0 
-0.157691 0.765049 -0.115658 
-0.151078 1.12118 -0.110399 
0.0893742 1.1835 -0.182515 
-0 0.973717 -0.344152 
-0 1.00586 -0.135688 
0.0666419 0.50067 -0.115915 
-0 0.512318 -0.209281 
0.253385 1.06484 -0.266901 
0.123127 0.789185 0.0564473 
0.169374 1.2542 0 
0.221491 1.25842 0 
0.156957 0.696597 0.0842798 
0.289287 0.864586 0 
0.191313 0.635465 0.252145 
0.138029 0.785898 0.0911534 
0.164697 0.326617 0.0918013 
0.131134 0.277253 0 
0.350279 -0.000529768 0.359347 
0.225494 -0.000182271 0.0633499 
0.43128 -0.00153446 -0 
0.224527 -0.000465188 0.616047 
0.215529 -0.000141024 0.145018 
0.126679 0.325246 0.151063 
0.391977 0.554457 -0.187121 
0.272303 0.803949 -0.267212 
0.134356 0.345294 -0.12267 
0.250497 1.08071 -0.194459 
0.308045 -0.000579476 -0.61099 
0.2477 -0.000172927 -0.211551 
0.396786 0.55987 -0.35876 
0.124407 -0.000133503 -0.228634 
0.428911 -0.000325636 -0.0641818 
0.136397 1.25716 -0.0579795 
0.1379 1.29939 -0.124583 
0.118549 1.32054 -0.173264 
